cidade;estado;populacao;pib per capita;idh
aruja;sao paulo;80922;18903.63085938;0.784
arvoredo;santa catarina;2241;14461.95996094;0.715
arvorezinha;rio grande do sul;10548;11461.5;0.694
ascurra;santa catarina;6945;12942.98046875;0.742
aspasia;sao paulo;1826;10155.4296875;0.735
assai;parana;16112;12792.41992188;0.728
assare;ceara;22550;3393.30004883;0.600
assis;sao paulo;98715;12746.54980469;0.805
assis brasil;acre;5662;8538.91015625;0.588
assis chateaubriand;parana;33023;13202.61035156;0.729
assuncao;paraiba;3471;4532.81982422;0.609
assuncao do piaui;piaui;8370;2749.31005859;0.499
astolfo dutra;minas gerais;13109;9725.12011719;0.694
astorga;parana;25164;10027.66015625;0.747
atalaia;alagoas;53023;3940.4699707;0.561
atalaia;parana;3645;12476.01953125;0.736
atalaia do norte;amazonas;14715;3710.7199707;0.450
atalanta;santa catarina;3402;14809.51953125;0.733
ataleia;minas gerais;15162;5557.83007812;0.588
atibaia;sao paulo;126757;20713.76953125;0.765
atilio vivacqua;espirito santo;9361;10480.25;0.708
augustinopolis;tocantins;15469;5693.12011719;0.670
augusto correa;para;39317;2824.14990234;0.520
augusto de lima;minas gerais;4599;7595.68994141;0.656
augusto pestana;rio grande do sul;7361;17362.1796875;0.743
augusto severo;rio grande do norte;9203;4341.14013672;0.621
aurea;rio grande do sul;3789;11776.70019531;0.707
aurelino leal;bahia;14280;4028.04003906;0.568
auriflama;sao paulo;14366;12323.94042969;0.773
aurilandia;goias;3709;9218.87988281;0.700
aurora;ceara;25113;3562.61010742;0.605
aurora;santa catarina;5560;15668.4296875;0.733
aurora do para;para;22315;3854.80004883;0.519
aurora do tocantins;tocantins;3523;7437.79980469;0.677
autazes;amazonas;31774;4288.72021484;0.577
avai;sao paulo;5170;8996.33007812;0.714
avanhandava;sao paulo;12112;9838.74023438;0.705
avare;sao paulo;84416;12661.8203125;0.767
aveiro;para;20266;2683.98999023;0.541
avelino lopes;piaui;12039;2643.17993164;0.554
avelinopolis;goias;2421;14115.73046875;0.660
axixa;maranhao;15203;2416.9699707;0.641
axixa do tocantins;tocantins;9203;5107.20019531;0.627
babaculandia;tocantins;10698;8715.9296875;0.642
